FT			ID			AT			WT			TT
5:5			2			4:2			0:38			0:25
5:20			25			4:36			0:19			0:25
5:20			11			4:12			0:43			0:25
5:20			26			4:36			0:19			0:25
5:20			10			4:11			0:44			0:25
5:20			12			4:14			0:41			0:25
5:20			19			4:24			0:31			0:25
5:25			41			4:58			0:2			0:25
5:30			7			4:5			1:0			0:25
5:50			51			5:12			0:13			0:25
5:55			37			4:53			0:37			0:25
6:0			23			4:32			0:13			1:15
6:5			65			5:34			0:6			0:25
6:10			55			5:20			0:0			0:50
6:10			46			5:6			0:14			0:50
6:10			3			4:2			1:18			0:50
6:10			20			4:25			0:55			0:50
6:10			35			4:49			0:31			0:50
6:10			8			4:8			1:12			0:50
6:10			42			4:59			0:21			0:50
6:15			61			5:28			0:22			0:25
6:20			27			4:37			1:18			0:25
6:30			75			5:52			0:13			0:25
6:35			47			5:6			1:4			0:25
6:40			74			5:52			0:23			0:25
6:45			77			5:56			0:24			0:25
6:45			87			6:15			0:5			0:25
6:45			80			6:2			0:18			0:25
6:45			83			6:9			0:11			0:25
6:45			67			5:35			0:45			0:25
6:50			73			5:49			0:11			0:50
7:0			64			5:32			0:13			1:15
7:0			49			5:8			1:27			0:25
7:0			5			4:4			2:31			0:25
7:0			22			4:30			2:5			0:25
7:10			99			6:34			0:11			0:25
7:20			91			6:21			0:9			0:50
7:30			88			6:16			0:24			0:50
7:30			101			6:35			0:5			0:50
7:35			109			6:52			0:18			0:25
7:35			28			4:39			2:31			0:25
7:35			66			5:35			1:35			0:25
7:35			79			6:0			1:10			0:25
7:35			9			4:10			3:0			0:25
7:35			15			4:20			2:50			0:25
7:35			45			5:6			2:4			0:25
7:40			107			6:47			0:3			0:50
7:40			69			5:40			0:20			1:40
7:50			115			7:3			0:22			0:25
7:50			48			5:7			2:18			0:25
7:50			30			4:43			2:42			0:25
7:50			32			4:46			2:39			0:25
7:50			39			4:57			2:28			0:25
7:50			71			5:45			1:40			0:25
7:50			40			4:57			2:28			0:25
7:50			90			6:20			1:5			0:25
7:50			93			6:25			1:0			0:25
7:50			34			4:46			2:39			0:25
7:50			33			4:46			2:39			0:25
7:50			6			4:5			3:20			0:25
7:50			54			5:17			2:8			0:25
7:51			16			4:20			3:30			0:1
7:51			104			6:41			1:9			0:1
7:51			105			6:42			1:8			0:1
7:51			63			5:29			2:21			0:1
7:51			44			5:4			2:46			0:1
7:51			58			5:21			2:29			0:1
7:51			50			5:9			2:41			0:1
8:0			76			5:54			1:41			0:25
8:0			62			5:28			2:7			0:25
8:0			113			6:59			0:36			0:25
8:0			121			7:19			0:16			0:25
8:5			129			7:32			0:8			0:25
8:10			114			7:2			0:18			0:50
8:15			111			6:57			0:3			1:15
8:16			84			6:10			1:41			0:25
8:20			134			7:42			0:13			0:25
8:25			81			6:5			1:55			0:25
8:25			36			4:50			3:10			0:25
8:25			29			4:40			3:20			0:25
8:25			68			5:37			2:23			0:25
8:41			102			6:38			1:38			0:25
8:41			53			5:14			3:2			0:25
8:41			52			5:13			3:3			0:25
8:41			137			7:44			0:32			0:25
8:41			59			5:21			2:55			0:25
8:41			14			4:17			3:59			0:25
8:41			135			7:42			0:34			0:25
8:50			110			6:54			1:31			0:25
8:50			78			5:59			2:26			0:25
8:50			57			5:21			3:4			0:25
8:50			21			4:28			3:57			0:25
8:50			119			7:15			1:10			0:25
8:50			24			4:35			3:50			0:25
8:50			98			6:34			1:51			0:25
8:50			108			6:50			1:35			0:25
8:50			148			8:3			0:22			0:25
8:55			124			7:23			0:17			1:15
8:55			128			7:31			0:9			1:15
8:55			149			8:3			0:2			0:50
9:6			92			6:23			2:18			0:25
9:6			141			7:55			0:46			0:25
9:6			145			8:1			0:40			0:25
9:6			142			7:57			0:44			0:25
9:6			150			8:4			0:37			0:25
9:6			82			6:7			2:34			0:25
9:6			153			8:11			0:30			0:25
9:6			72			5:48			2:53			0:25
9:6			4			4:3			4:38			0:25
9:10			146			8:2			0:18			0:50
9:10			156			8:16			0:4			0:50
9:15			162			8:25			0:25			0:25
9:15			155			8:15			0:35			0:25
9:15			139			7:49			1:1			0:25
9:15			112			6:57			1:53			0:25
9:15			56			5:21			3:29			0:25
9:15			43			5:1			3:49			0:25
9:15			176			8:45			0:5			0:25
9:15			171			8:39			0:11			0:25
9:15			174			8:43			0:7			0:25
9:20			180			8:51			0:4			0:25
9:31			31			4:45			4:21			0:25
9:31			94			6:28			2:38			0:25
9:31			130			7:34			1:32			0:25
9:31			125			7:25			1:41			0:25
9:31			140			7:52			1:14			0:25
9:31			60			5:23			3:43			0:25
9:31			100			6:35			2:31			0:25
9:35			181			8:53			0:17			0:25
9:35			184			8:58			0:12			0:25
9:40			152			8:7			1:8			0:25
9:40			190			9:13			0:2			0:25
9:40			187			9:3			0:12			0:25
9:50			172			8:40			0:20			0:50
9:50			168			8:36			0:24			0:50
9:56			1			4:2			5:29			0:25
9:56			13			4:15			5:16			0:25
9:56			132			7:38			1:53			0:25
10:0			206			9:30			0:5			0:25
10:5			18			4:22			5:18			0:25
10:15			213			9:40			0:10			0:25
10:21			96			6:31			3:25			0:25
10:21			17			4:22			5:34			0:25
10:21			106			6:44			3:12			0:25
10:30			116			7:6			2:59			0:25
10:30			126			7:27			2:38			0:25
10:30			196			9:17			0:48			0:25
10:30			232			10:2			0:3			0:25
10:30			222			9:49			0:16			0:25
10:30			117			7:7			2:58			0:25
10:30			178			8:49			1:16			0:25
10:30			191			9:13			0:27			0:50
10:35			179			8:49			0:6			1:40
10:35			218			9:44			0:1			0:50
10:35			207			9:30			0:15			0:50
10:46			123			7:22			2:59			0:25
10:46			151			8:5			2:16			0:25
10:46			159			8:20			2:1			0:25
10:46			89			6:19			4:2			0:25
10:46			97			6:33			3:48			0:25
10:46			86			6:12			4:9			0:25
10:46			188			9:8			1:13			0:25
10:46			85			6:11			4:10			0:25
10:46			182			8:55			1:26			0:25
10:46			165			8:31			1:50			0:25
10:50			227			9:56			0:4			0:50
10:55			237			10:9			0:21			0:25
10:55			127			7:28			3:2			0:25
10:55			192			9:13			1:17			0:25
10:55			212			9:39			0:51			0:25
10:55			233			10:2			0:28			0:25
10:55			173			8:40			1:50			0:25
10:55			103			6:38			3:52			0:25
10:55			143			7:58			2:32			0:25
10:55			198			9:20			1:10			0:25
10:55			199			9:21			1:9			0:25
10:55			138			7:46			2:44			0:25
10:55			158			8:20			2:10			0:25
10:55			161			8:23			2:7			0:25
11:11			255			10:45			0:1			0:25
11:11			221			9:49			0:57			0:25
11:11			183			8:56			1:50			0:25
11:11			163			8:27			2:19			0:25
11:11			239			10:15			0:31			0:25
11:11			249			10:33			0:13			0:25
11:11			224			9:50			0:56			0:25
11:11			131			7:37			3:9			0:25
11:11			193			9:15			1:31			0:25
11:20			95			6:28			4:27			0:25
11:20			118			7:10			3:45			0:25
11:20			120			7:18			3:37			0:25
11:20			177			8:46			2:9			0:25
11:25			259			10:55			0:5			0:25
11:25			246			10:28			0:7			0:50
11:25			242			10:22			0:13			0:50
11:36			202			9:24			1:47			0:25
11:36			185			9:0			2:11			0:25
11:36			204			9:26			1:45			0:25
11:36			160			8:21			2:50			0:25
11:36			223			9:50			1:21			0:25
11:36			133			7:40			3:31			0:25
11:36			208			9:33			1:38			0:25
11:36			136			7:42			3:29			0:25
11:40			262			11:1			0:14			0:25
11:45			270			11:16			0:4			0:25
11:45			248			10:31			0:49			0:25
11:45			252			10:39			0:41			0:25
11:50			268			11:11			0:14			0:25
12:1			122			7:21			4:15			0:25
12:1			144			8:0			3:36			0:25
12:1			147			8:3			3:33			0:25
12:1			272			11:20			0:16			0:25
12:1			170			8:36			3:0			0:25
12:1			250			10:36			1:0			0:25
12:1			236			10:8			1:28			0:25
12:1			194			9:15			2:21			0:25
12:1			200			9:21			2:15			0:25
12:1			216			9:43			1:53			0:25
12:1			258			10:53			0:43			0:25
12:10			276			11:23			0:22			0:25
12:10			241			10:19			1:26			0:25
12:10			245			10:25			1:20			0:25
12:26			169			8:36			3:25			0:25
12:26			167			8:34			3:27			0:25
12:26			230			10:2			1:59			0:25
12:26			253			10:39			1:22			0:25
12:26			264			11:4			0:57			0:25
12:26			267			11:9			0:52			0:25
12:26			269			11:14			0:47			0:25
12:30			271			11:18			0:22			0:50
12:35			164			8:28			3:42			0:25
12:35			154			8:14			3:56			0:25
12:51			220			9:46			2:40			0:25
12:51			186			9:3			3:23			0:25
12:51			209			9:36			2:50			0:25
12:51			175			8:44			3:42			0:25
13:16			235			10:5			2:46			0:25
13:16			265			11:4			1:47			0:25
13:25			226			9:55			3:5			0:25
13:25			219			9:44			3:16			0:25
13:25			157			8:18			4:42			0:25
13:25			195			9:15			3:45			0:25
13:25			203			9:25			3:35			0:25
13:25			228			9:58			3:2			0:25
13:25			244			10:23			2:37			0:25
13:25			166			8:33			4:27			0:25
13:41			189			9:10			4:6			0:25
13:41			275			11:22			1:54			0:25
13:41			229			9:59			3:17			0:25
13:41			211			9:38			3:38			0:25
13:41			261			11:0			2:16			0:25
13:41			201			9:23			3:53			0:25
13:41			243			10:22			2:54			0:25
13:41			197			9:17			3:59			0:25
13:50			263			11:3			2:22			0:25
13:50			214			9:40			3:45			0:25
13:50			231			10:2			3:23			0:25
13:50			215			9:43			3:42			0:25
14:6			247			10:30			3:11			0:25
14:6			217			9:44			3:57			0:25
14:6			273			11:21			2:20			0:25
14:6			274			11:22			2:19			0:25
14:6			266			11:7			2:34			0:25
14:15			210			9:37			4:13			0:25
14:31			234			10:2			4:4			0:25
14:31			238			10:12			3:54			0:25
14:31			256			10:48			3:18			0:25
14:31			260			10:57			3:9			0:25
14:31			225			9:53			4:13			0:25
15:5			254			10:42			3:33			0:50
15:5			257			10:50			3:25			0:50
15:5			205			9:27			4:48			0:50
15:21			240			10:18			4:13			0:50
15:30			251			10:38			4:27			0:25
Passengers: 274   [NP: 88, SP: 88, WP: 98]
passenger Avg Wait time= 1:52
Auto-promoted passengers: 22.9927%
